name,latitude,longitude,tags
Boston Common,42.3554,-71.0656,HISTORIC PLACES
Massachusetts State House,42.3594,-71.0629,HISTORIC PLACES
Old North Church,42.3663,-71.0542,HISTORIC PLACES
Paul Revere House,42.3634,-71.0537,HISTORIC PLACES
Faneuil Hall Marketplace,42.3601,-71.055,HISTORIC PLACES
Quincy Market,42.3592,-71.0548,HISTORIC PLACES
King's Chapel,42.3585,-71.0573,HISTORIC PLACES
Old South Meeting House,42.3534,-71.0598,HISTORIC PLACES
Granary Burying Ground,42.3575,-71.0615,HISTORIC PLACES
Massachusetts Historical Society,42.3529,-71.0652,HISTORIC PLACES
Bunker Hill Monument,42.3763,-71.0604,HISTORIC PLACES
Fenway Park,42.3466,-71.0969,HISTORIC PLACES
Boston Public Garden,42.3529,-71.0704,GARDENS
Rose Fitzgerald Kennedy Greenway,42.3522,-71.0553,GARDENS
Commonwealth Avenue Mall,42.3501,-71.0826,GARDENS
Copley Square,42.3498,-71.0776,GARDENS
The Fens,42.3428,-71.1002,GARDENS
Charles River Esplanade,42.3509,-71.0773,GARDENS
Christopher Columbus Waterfront Park,42.3617,-71.0503,GARDENS
Boston Nature Center Wildlife Sanctuary,42.2826,-71.0978,GARDENS
Arnold Arboretum,42.3019,-71.1254,GARDENS
Mount Auburn Cemetery,42.3753,-71.1445,GARDENS
Museum of Fine Arts,42.3394,-71.0942,MUSEUMS
Isabella Stewart Gardner Museum,42.3385,-71.0985,MUSEUMS
Boston Children's Museum,42.3515,-71.0495,MUSEUMS
Museum of Science,42.3674,-71.0709,MUSEUMS
New England Aquarium,42.3591,-71.0495,MUSEUMS
Harvard Art Museums,42.3744,-71.1162,MUSEUMS
John F. Kennedy Presidential Library and Museum,42.3003,-71.0343,MUSEUMS
Boston Tea Party Ships and Museum,42.3536,-71.0517,MUSEUMS
USS Constitution Museum,42.3725,-71.0568,MUSEUMS
BPL - Central Library,42.3494,-71.0784,BOSTON PUBLIC LIBRARY
BPL - West End Branch,42.3646,-71.0655,BOSTON PUBLIC LIBRARY
BPL - North End Branch,42.3655,-71.0527,BOSTON PUBLIC LIBRARY
BPL - South End Branch,42.3427,-71.0762,BOSTON PUBLIC LIBRARY
BPL - Brighton Branch,42.3489,-71.1541,BOSTON PUBLIC LIBRARY
BPL - Charlestown Branch,42.3763,-71.0616,BOSTON PUBLIC LIBRARY
BPL - Codman Square Branch,42.2858,-71.0722,BOSTON PUBLIC LIBRARY
BPL - Connolly Branch,42.2891,-71.1301,BOSTON PUBLIC LIBRARY
BPL - Egleston Square Branch,42.3178,-71.0983,BOSTON PUBLIC LIBRARY
BPL - Grove Hall Branch,42.3054,-71.0819,BOSTON PUBLIC LIBRARY
BPL - Hyde Park Branch,42.2564,-71.1246,BOSTON PUBLIC LIBRARY
BPL - Jamaica Plain Branch,42.3096,-71.1144,BOSTON PUBLIC LIBRARY
BPL - Mattapan Branch,42.2712,-71.0933,BOSTON PUBLIC LIBRARY
BPL - Parker Hill Branch,42.3323,-71.1063,BOSTON PUBLIC LIBRARY
BPL - Roslindale Branch,42.2822,-71.1302,BOSTON PUBLIC LIBRARY
BPL - South Boston Branch,42.3361,-71.0486,BOSTON PUBLIC LIBRARY
BPL - West Roxbury Branch,42.2799,-71.1652,BOSTON PUBLIC LIBRARY
Boston University,42.3505,-71.1054,UNIVERSITIES
Harvard University,42.377,-71.1167,UNIVERSITIES
Massachusetts Institute of Technology (MIT),42.3601,-71.0942,UNIVERSITIES
Northeastern University,42.34,-71.0885,MBTA-GREEN LINE
Berklee College of Music,42.345,-71.0866,UNIVERSITIES
Boston College,42.3401,-71.1679,MBTA-GREEN LINE
Boston Conservatory at Berklee,42.3426,-71.0853,UNIVERSITIES
Boston University School of Medicine,42.3366,-71.0713,UNIVERSITIES
Emerson College,42.3515,-71.0641,UNIVERSITIES
Simmons University,42.3399,-71.1008,UNIVERSITIES
Suffolk University,42.3592,-71.0618,UNIVERSITIES
Tufts University,42.4075,-71.119,UNIVERSITIES
University of Massachusetts Boston,42.3122,-71.0386,UNIVERSITIES
Wentworth Institute of Technology,42.3371,-71.0966,UNIVERSITIES
Boston Architectural College,42.3493,-71.0646,UNIVERSITIES
Boston Graduate School of Psychoanalysis,42.3351,-71.1108,UNIVERSITIES
Massachusetts College of Art and Design,42.3363,-71.0986,UNIVERSITIES
New England College of Optometry,42.3435,-71.0745,UNIVERSITIES
Simmons University School of Social Work,42.3397,-71.0999,UNIVERSITIES
Oak Grove,42.4368,-71.0712,MBTA-ORANGE LINE
Malden Center,42.4267,-71.0749,MBTA-ORANGE LINE
Wellington,42.4024,-71.0771,MBTA-ORANGE LINE
Sullivan Square,42.3843,-71.0764,MBTA-ORANGE LINE
Community College,42.3735,-71.0696,MBTA-ORANGE LINE
North Station,42.3656,-71.0613,"MBTA-ORANGE LINE, MBTA-GREEN LINE"
Haymarket,42.3634,-71.0582,"MBTA-ORANGE LINE, MBTA-GREEN LINE"
State,42.3589,-71.057,MBTA-ORANGE LINE
Chinatown,42.3525,-71.0621,MBTA-ORANGE LINE
Downtown Crossing,42.3555,-71.0603,"MBTA-ORANGE LINE, MBTA-RED LINE, MBTA-SILVER LINE"
Tufts Medical Center,42.3491,-71.0637,MBTA-SILVER LINE
Back Bay,42.3473,-71.0755,MBTA-ORANGE LINE
Massachusetts Avenue,42.3414,-71.0833,MBTA-ORANGE LINE
Ruggles,42.3363,-71.0895,MBTA-ORANGE LINE
